date,shards-total,shards-successful,shards-failed,total-store,chunks-latest,chunks,coordinates-latest,coordinates,meta
2019-02-16T18:45:25.371Z,50,25,0,89934265,1508679,33791434,267583,54359756,6813
2019-02-16T18:50:25.448Z,50,25,0,85237077,1710095,34111260,262612,49146297,6813
2019-02-16T18:55:25.385Z,50,25,0,89102577,1551988,30083429,262605,57197742,6813
2019-02-16T19:00:25.374Z,50,25,0,85588107,1726318,25877243,263471,57714262,6813
2019-02-16T19:05:25.459Z,50,25,0,89930533,1565667,26217370,257102,61883581,6813
2019-02-16T19:10:25.536Z,50,25,0,88740779,1533738,26512440,257102,60430686,6813
2019-02-16T19:15:25.683Z,50,25,0,102396223,1508936,31049608,262616,69568250,6813
2019-02-16T19:20:25.608Z,50,25,0,99261824,1768253,27049226,257105,70180427,6813
2019-02-16T19:25:25.560Z,50,25,0,85019445,1657227,27358290,257487,55739628,6813
2019-02-16T19:30:25.578Z,50,25,0,95015638,1479805,27643919,257097,65628004,6813
2019-02-16T19:35:25.610Z,50,25,0,82601201,1616960,27952022,257097,52768309,6813
2019-02-16T19:40:25.689Z,50,25,0,100140150,1529311,28106519,257097,70240410,6813
2019-02-16T19:45:25.646Z,50,25,0,113357498,1546447,28470080,268122,83066036,6813
2019-02-16T19:50:25.424Z,50,25,0,112001646,1493617,28739503,257095,81504618,6813
2019-02-16T19:55:25.436Z,50,25,0,112647288,1614258,29048060,262687,81715470,6813
2019-02-16T20:00:25.448Z,50,25,0,111291078,1515952,29294021,257103,80217189,6813
2019-02-16T20:05:25.612Z,50,25,0,97323284,1462451,29543657,257099,66053264,6813
2019-02-16T20:10:25.625Z,50,25,0,101432917,1518759,29877856,257096,69772393,6813
2019-02-16T20:15:25.777Z,50,25,0,105770767,1588987,30152701,268116,73754150,6813
2019-02-16T20:20:25.767Z,50,25,0,108790533,1492558,39824799,263467,67202896,6813
2019-02-16T20:25:25.689Z,50,25,0,102941080,1488482,30756613,262613,70426559,6813
2019-02-16T20:30:26.462Z,50,25,0,114578402,1556061,42160604,262619,70592305,6813
2019-02-16T20:35:25.567Z,50,25,0,88087443,1474731,31272267,257098,55076534,6813
2019-02-16T20:40:25.810Z,50,25,0,116225984,1470879,31577312,263458,82907522,6813
2019-02-16T20:45:25.706Z,50,25,0,126877787,1583543,36136752,257095,88893584,6813
2019-02-16T20:50:25.673Z,50,25,0,131196500,1488648,32164431,257103,97279505,6813
2019-02-16T20:55:25.695Z,50,25,0,112199655,1512611,32468489,257103,77954639,6813
2019-02-16T21:00:25.469Z,50,25,0,125318858,1536783,38589186,257094,84928982,6813
2019-02-16T21:05:25.473Z,50,25,0,127890290,1492338,33015895,263458,93111786,6813
2019-02-16T21:10:25.501Z,50,25,0,139328424,1549645,33191923,257095,104322948,6813
2019-02-16T21:15:25.667Z,50,25,0,120757113,1500972,33604878,257102,85387348,6813
2019-02-16T21:20:25.870Z,50,25,0,122249160,1555733,33824562,257100,86604952,6813
2019-02-16T21:25:25.817Z,50,25,0,123864924,1516887,34094775,257105,87989344,6813
2019-02-16T21:30:25.931Z,50,25,0,143750139,1554165,40634333,257103,101297725,6813
2019-02-16T21:35:25.856Z,50,25,0,136276445,1509832,34711142,257097,99791561,6813
2019-02-16T21:40:25.864Z,50,25,0,126253263,1532386,34986113,257099,89470852,6813
2019-02-16T21:45:25.707Z,50,25,0,135225040,1760170,47984933,263077,85210047,6813
2019-02-16T21:50:25.814Z,50,25,0,130166616,1543295,35435028,262615,92918865,6813
2019-02-16T21:55:25.490Z,50,25,0,148050552,1526541,35684598,257100,110575500,6813
2019-02-16T22:00:25.496Z,50,25,0,126858128,1547226,36056402,257097,88990590,6813
2019-02-16T22:05:25.504Z,50,25,0,150085604,1509867,53224192,268977,95075755,6813
2019-02-16T22:10:25.753Z,50,25,0,148902837,1540821,48060364,257104,99037735,6813
2019-02-16T22:15:25.873Z,50,25,0,139369052,1517048,36799165,272571,100773455,6813
2019-02-16T22:20:25.913Z,50,25,0,147297241,1566811,37159761,257101,108306755,6813
2019-02-16T22:25:25.828Z,50,25,0,155170767,1515322,44844573,262618,108541441,6813
2019-02-16T22:30:25.768Z,50,25,0,133937536,1558481,37644872,257102,94470268,6813
2019-02-16T22:35:25.815Z,50,25,0,155387402,1470853,44895377,257098,108757261,6813
2019-02-16T22:40:25.970Z,50,25,0,146634090,1709032,38228851,274966,106414428,6813
2019-02-16T22:45:25.549Z,50,25,0,152190616,1520143,38470128,257103,111936429,6813
2019-02-16T22:50:25.515Z,50,25,0,165684588,1478746,38658102,263465,125277462,6813
2019-02-16T22:55:25.501Z,50,25,0,153361248,1528359,39052901,257093,112516082,6813
2019-02-16T23:00:25.599Z,50,25,0,156839116,1571456,39245695,257096,115758056,6813
2019-02-16T23:05:25.799Z,50,25,0,136258143,1517308,39452037,262612,95019373,6813
2019-02-16T23:10:26.065Z,50,25,0,166216513,1479968,64792983,269830,99666919,6813
2019-02-16T23:15:25.958Z,50,25,0,166702112,1507491,40048626,257100,124882082,6813
2019-02-16T23:20:26.474Z,50,25,0,146761380,1530513,40278381,268976,104676697,6813
2019-02-16T23:25:25.868Z,50,25,0,148270359,1461175,40561706,264572,105976093,6813
2019-02-16T23:30:25.861Z,50,25,0,183524646,1513188,48380582,265806,133358257,6813
2019-02-16T23:35:25.587Z,50,25,0,189146801,1527933,54808210,257099,132546746,6813
2019-02-16T23:40:25.567Z,50,25,0,154790106,1486661,48926518,257241,104112873,6813
2019-02-16T23:45:25.720Z,50,25,0,166310527,1481106,41545067,257100,123020441,6813
2019-02-16T23:50:25.700Z,50,25,0,164359992,1531328,41749682,257100,120815069,6813
2019-02-16T23:55:26.035Z,50,25,0,179014329,1470330,57604634,263068,119669484,6813
2019-02-17T00:00:26.113Z,50,25,0,183707689,1619449,42240665,257101,139583661,6813
2019-02-17T00:05:26.019Z,50,25,0,163869132,1675074,42479262,257098,119450885,6813
2019-02-17T00:10:25.983Z,50,25,0,167105950,1474281,58530796,274128,106819932,6813
2019-02-17T00:15:26.176Z,50,25,0,177227603,1564371,42951544,257099,132447776,6813
2019-02-17T00:20:26.146Z,50,25,0,178119927,1522194,59167090,268974,117154856,6813
2019-02-17T00:25:25.706Z,50,25,0,157173558,1584318,43392144,257098,111933185,6813
2019-02-17T00:30:25.720Z,50,25,0,183282743,1530727,63128258,257099,118359846,6813
2019-02-17T00:35:25.715Z,50,25,0,175696188,1563171,51943532,266050,121916622,6813
2019-02-17T00:40:25.890Z,50,25,0,155171092,1553004,44066615,268969,109275691,6813
2019-02-17T00:45:26.064Z,50,25,0,179783508,1479851,60648594,257097,117391153,6813
2019-02-17T00:50:26.271Z,50,25,0,198484143,1547333,50523099,261298,146145600,6813
2019-02-17T00:55:26.085Z,50,25,0,170119435,1502231,44764103,263463,123582825,6813
2019-02-17T01:00:26.072Z,50,25,0,182349073,1515677,53282419,273704,127270460,6813
2019-02-17T01:05:26.130Z,50,25,0,203169915,1534960,45099893,257098,156271151,6813
2019-02-17T01:10:26.055Z,50,25,0,189135928,1467848,45395917,257092,142008258,6813
2019-02-17T01:15:25.879Z,50,25,0,216554586,1542460,66278791,265889,148460633,6813
2019-02-17T01:20:25.742Z,50,25,0,184233254,1485772,45808303,257096,136675270,6813
2019-02-17T01:25:25.773Z,50,25,0,175249196,1458775,45882208,262694,127638706,6813
2019-02-17T01:30:26.079Z,50,25,0,180699944,1516745,46134938,257098,132784350,6813
2019-02-17T01:35:26.122Z,50,25,0,212819434,1452371,55092352,257101,156010797,6813
